EmpleadoID,Nombre,Apellido,Departamento,FechaContratacion,Salario
E0055,Daniela,Torres,Ventas,2020-02-24,40149
E0056,José,Ortiz,Administración,2020-08-06,37171
E0057,Sofía,Gómez,Ventas,2019-06-18,23936
E0058,José,Ortiz,Ventas,2018-08-24,45385
E0059,Paola,Ramírez,Atención al Cliente,2021-12-26,14017
E0060,Alejandro,Rivera,Almacén,2023-08-25,48537
E0061,Mariana,Hernández,TI,2023-05-20,25656
E0062,Diego,López,TI,2024-08-05,32946
E0063,Ana,Pérez,TI,2025-06-06,38791
E0064,Gabriela,Castillo,Administración,2024-07-23,44382
E0065,Mariana,Gómez,Administración,2021-07-25,36150
E0066,Ricardo,Martínez,Ventas,2023-12-21,29067
E0067,Paola,Vargas,Almacén,2023-01-30,22179
E0068,Eduardo,Ramírez,Administración,2017-04-29,43165
E0069,Fernanda,Hernández,TI,2018-03-17,34249
E0070,Paola,Hernández,Almacén,2023-01-11,47887
E0071,Gabriela,Ramírez,Atención al Cliente,2023-01-02,31275
E0072,Laura,Mendoza,Atención al Cliente,2018-12-19,22687
E0073,Ana,Gómez,Almacén,2025-07-17,40672
E0074,Gabriela,Flores,Atención al Cliente,2019-11-18,49874
E0075,Daniela,Vargas,Ventas,2019-03-14,27092
E0076,Sofía,Ortiz,Atención al Cliente,2025-02-04,51420
E0077,Ana,López,Ventas,2017-09-13,28862
E0078,Alejandro,Hernández,Atención al Cliente,2025-07-30,44800
E0079,José,González,Atención al Cliente,2021-12-08,47695
E0080,Carlos,Rodríguez,TI,2025-01-26,16336
E0081,Luis,Rodríguez,Almacén,2019-07-09,53521
E0082,Daniela,Martínez,Ventas,2017-05-19,52331
E0083,Ana,Jiménez,Almacén,2024-08-24,40446
E0084,Ana,Hernández,Atención al Cliente,2020-11-07,46761
E0085,Jorge,Sánchez,Almacén,2022-12-15,40185
E0086,Valeria,Pérez,Ventas,2024-11-20,36168
E0087,Paola,Gómez,Almacén,2024-01-19,25205
E0088,Daniela,Rivera,Atención al Cliente,2019-12-21,53960
E0089,Jorge,González,Almacén,2020-08-21,47844
E0090,José,Mendoza,Ventas,2019-04-14,16156
E0091,Daniela,Rodríguez,Almacén,2022-04-24,22491
E0092,Jorge,Vargas,TI,2018-08-13,46672
E0093,Jorge,Jiménez,Atención al Cliente,2020-09-18,45075
E0094,Fernanda,García,TI,2023-03-23,17567
E0095,Miguel,Hernández,Almacén,2020-05-28,17898
E0096,Paola,Ramírez,Almacén,2021-07-22,13744
E0097,Ana,Morales,Atención al Cliente,2018-06-26,51391
E0098,Paola,Jiménez,Atención al Cliente,2018-06-15,45633
E0099,Carlos,Castillo,Almacén,2022-12-29,25006
E0100,Fernanda,Gómez,Almacén,2019-12-12,35340
